user_ID,login,added_to_cart,purchased_item,time_stamp
1,login,added_to_cart,,2017-01-07 17:16:42
2,login,,,2018-01-08 22:54:59
3,login,added_to_cart,purchased_item,2017-09-25 10:03:12
4,login,added_to_cart,purchased_item,2020-01-22 06:21:54
5,login,added_to_cart,,2022-11-12 13:13:54
6,login,,,2021-01-01 03:56:34
7,login,added_to_cart,,2018-10-27 01:00:00
8,login,added_to_cart,purchased_item,2021-08-25 16:38:01
9,login,added_to_cart,purchased_item,2020-09-16 17:21:37
10,login,,,2018-06-19 01:29:24
11,login,,,2022-01-15 19:45:24
12,login,,,2018-06-02 17:39:58
13,login,added_to_cart,purchased_item,2017-11-23 04:43:33
14,login,added_to_cart,purchased_item,2017-08-20 21:06:46
15,login,,,2017-04-24 09:52:27
16,login,added_to_cart,,2020-07-23 06:58:39
17,login,,,2017-06-05 15:45:03
18,login,added_to_cart,,2022-08-09 17:53:37
19,login,added_to_cart,purchased_item,2020-08-09 11:36:30
20,login,added_to_cart,purchased_item,2021-10-20 11:08:22
21,login,added_to_cart,purchased_item,2023-01-31 05:29:36
22,,,,2018-03-06 22:44:24
23,login,,,2018-12-09 23:19:07
24,login,added_to_cart,purchased_item,2019-07-07 14:20:23
25,login,added_to_cart,purchased_item,2017-06-03 07:08:48
26,login,,,2021-01-16 16:47:18
27,login,,,2022-03-08 21:35:32
28,login,,,2022-10-22 07:26:08
29,login,added_to_cart,,2020-02-09 16:23:51
30,login,added_to_cart,,2020-11-26 11:51:17
31,login,,,2021-05-14 16:01:41
32,login,added_to_cart,,2018-08-10 15:21:57
33,login,added_to_cart,,2017-10-24 03:00:36
34,login,added_to_cart,,2018-07-30 04:33:42
35,login,added_to_cart,purchased_item,2021-05-09 16:23:54
36,login,added_to_cart,,2021-06-05 06:19:49
37,login,,,2022-06-03 01:52:44
38,login,added_to_cart,purchased_item,2020-12-14 04:18:15
39,login,,,2020-01-07 16:25:17
40,login,added_to_cart,purchased_item,2019-04-21 17:49:31
41,login,added_to_cart,purchased_item,2022-08-28 19:39:17
42,login,added_to_cart,,2018-07-09 06:27:47
43,login,added_to_cart,purchased_item,2022-09-21 06:50:36
44,login,,,2020-01-16 17:12:25
45,login,added_to_cart,purchased_item,2020-04-26 19:13:26
46,login,added_to_cart,,2020-11-24 20:38:17
47,login,added_to_cart,,2022-09-10 02:34:30
48,,,,2020-01-16 23:13:28
49,login,added_to_cart,purchased_item,2020-03-12 15:34:38
50,login,added_to_cart,,2019-08-24 06:28:52
51,login,added_to_cart,purchased_item,2021-04-05 06:12:50
52,login,,,2020-07-30 19:24:11
53,login,added_to_cart,purchased_item,2022-04-16 20:04:36
54,,,,2021-03-20 20:12:29
55,,,,2022-11-20 16:15:12
56,login,,,2018-10-09 05:26:59
57,,,,2021-03-26 14:50:42
58,login,added_to_cart,purchased_item,2018-10-21 22:42:30
59,login,,,2018-11-03 16:04:10
60,login,added_to_cart,,2019-10-21 05:44:44
61,login,,,2020-05-20 02:42:47
62,login,added_to_cart,purchased_item,2021-07-16 22:35:51
63,,,,2022-06-13 01:41:14
64,login,added_to_cart,purchased_item,2019-02-24 19:23:13
65,login,added_to_cart,,2018-01-22 19:25:20
66,login,,,2022-08-25 03:03:57
