Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,bad guy,Billie Eilish,electropop,2019,135,43,70,-11,10,56,194,33,38,94
2,7 rings,Ariana Grande,dance pop,2019,140,32,78,-11,9,33,179,59,33,90
3,Old Town Road - Remix,Lil Nas X,country rap,2019,136,62,88,-6,11,64,157,5,10,89
4,Se̱orita,Shawn Mendes,canadian pop,2019,117,55,76,-6,8,75,191,4,3,88
5,rockstar (feat. 21 Savage),Post Malone,dfw rap,2018,160,52,59,-6,13,13,218,12,7,88
6,SAD!,XXXTENTACION,emo rap,2018,75,61,74,-5,12,47,167,26,14,87
7,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,2019,90,52,76,-4,7,93,158,53,6,86
8,God's Plan,Drake,canadian hip hop,2018,77,45,75,-9,55,36,199,3,11,85
9,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,85
10,Thunder,Imagine Dragons,modern rock,2017,168,82,61,-5,15,29,187,1,4,85
11,I Fall Apart,Post Malone,dfw rap,2016,144,54,56,-5,20,29,223,7,4,84
12,HUMBLE.,Kendrick Lamar,conscious hip hop,2017,150,62,91,-7,10,42,177,0,10,84
13,Starboy,The Weeknd,canadian contemporary r&b,2016,186,59,68,-7,14,49,230,14,28,84
14,FRIENDS,Marshmello,brostep,2018,95,88,63,-2,13,53,203,21,5,83
15,Psycho (feat. Ty Dolla $ign),Post Malone,dfw rap,2018,140,56,75,-8,11,46,221,55,11,83
16,Congratulations,Post Malone,dfw rap,2016,123,80,63,-4,25,49,220,22,4,83
17,In My Feelings,Drake,canadian hip hop,2018,91,63,84,-6,40,35,218,6,13,83
18,The Hills,The Weeknd,canadian contemporary r&b,2015,113,56,58,-7,14,14,242,7,5,83
19,no tears left to cry,Ariana Grande,dance pop,2018,122,71,70,-6,29,35,206,4,6,83
20,Dancing On My Own,Calum Scott,pop,2018,113,17,68,-9,10,24,260,84,3,83
21,New Rules,Dua Lipa,dance pop,2017,116,70,76,-6,15,61,209,0,7,83
22,Treat You Better,Shawn Mendes,canadian pop,2017,83,82,44,-4,11,75,188,11,34,83
23,Something Just Like This,The Chainsmokers,electropop,2017,103,64,62,-7,16,45,247,5,3,83
24,Happier,Ed Sheeran,pop,2017,90,39,52,-7,14,24,208,54,3,82
25,Attention,Charlie Puth,dance pop,2018,100,61,78,-5,13,80,209,11,5,82
26,IDGAF,Dua Lipa,dance pop,2017,97,54,84,-6,8,51,218,4,9,82
27,There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2017,122,81,87,-4,8,97,199,38,6,82
28,Scared to Be Lonely,Martin Garrix,big room,2017,138,54,58,-8,26,20,221,9,6,81
29,Whatever It Takes,Imagine Dragons,modern rock,2017,135,66,67,-5,12,56,201,4,3,81
30,Let Me Love You,DJ Snake,electronic trap,2016,100,72,65,-5,14,16,206,9,3,81
31,i hate u i love u (feat. olivia o'brien),gnash,pop,2016,93,28,49,-13,10,18,251,69,30,81
32,Silence,Marshmello,brostep,2017,142,76,52,-3,17,29,181,26,9,80
33,The Nights,Avicii,big room,2014,126,84,53,-5,25,65,177,2,4,80
34,Without You (feat. Sandro Cavazza),Avicii,big room,2017,134,86,66,-5,5,30,182,0,4,80
35,In the Name of Love,Martin Garrix,big room,2016,134,52,50,-6,45,17,196,11,4,80
36,Faded,Alan Walker,electro house,2018,180,63,47,-5,11,16,212,3,5,80
37,Story of My Life,One Direction,boy band,2013,121,66,60,-6,12,29,245,23,5,80
38,Solo (feat. Demi Lovato),Clean Bandit,dance pop,2018,105,64,74,-5,35,56,223,4,4,79
