Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1000
FDW14,OUT017,1000
NCN55,OUT010,1000
FDQ58,OUT017,1000
FDY38,OUT027,1000
FDH56,OUT046,1000
FDL48,OUT018,1000
FDC48,OUT027,1000
FDN33,OUT045,1000
FDA36,OUT017,1000
FDT44,OUT017,1000
FDQ56,OUT045,1000
NCC54,OUT019,1000
FDU11,OUT049,1000
DRL59,OUT013,1000
FDM24,OUT049,1000
FDI57,OUT045,1000
DRC12,OUT018,1000
NCM42,OUT027,1000
FDA46,OUT010,1000
FDA31,OUT013,1000
NCJ31,OUT035,1000
FDG52,OUT046,1000
NCL19,OUT019,1000
FDS10,OUT035,1000
FDX22,OUT010,1000
NCF19,OUT035,1000
NCE06,OUT046,1000
DRC27,OUT046,1000
FDE21,OUT035,1000
NCR42,OUT019,1000
FDX51,OUT018,1000
NCR06,OUT018,1000
FDU31,OUT027,1000
FDU59,OUT017,1000
FDR03,OUT027,1000
FDS49,OUT027,1000
FDD48,OUT010,1000
NCF18,OUT017,1000
NCD43,OUT027,1000
NCD54,OUT018,1000
FDY19,OUT010,1000
NCY54,OUT017,1000
NCL19,OUT018,1000
FDP23,OUT010,1000
FDC26,OUT013,1000
FDR14,OUT010,1000
NCS41,OUT035,1000
FDF41,OUT035,1000
FDU34,OUT046,1000
DRH11,OUT046,1000
FDM03,OUT013,1000
FDS31,OUT017,1000
FDJ20,OUT017,1000
FDV44,OUT027,1000
FDG02,OUT049,1000
FDA09,OUT013,1000
FDT04,OUT013,1000
FDL58,OUT019,1000
FDE52,OUT045,1000
FDW12,OUT035,1000
FDL51,OUT017,1000
NCY42,OUT027,1000
FDR07,OUT017,1000
FDN40,OUT045,1000
FDB35,OUT027,1000
FDA22,OUT017,1000
NCL06,OUT046,1000
FDI35,OUT013,1000
NCW42,OUT045,1000
NCX06,OUT049,1000
FDC37,OUT027,1000
FDZ14,OUT018,1000
DRG49,OUT049,1000
NCG06,OUT045,1000
DRC36,OUT045,1000
FDV21,OUT019,1000
FDB53,OUT046,1000
DRP47,OUT019,1000
FDA14,OUT013,1000
DRC24,OUT035,1000
FDW21,OUT018,1000
NCH29,OUT046,1000
FDU58,OUT013,1000
FDY27,OUT017,1000
FDV56,OUT035,1000
FDT59,OUT046,1000
FDB23,OUT046,1000
FDR49,OUT045,1000
FDB03,OUT010,1000
FDN39,OUT045,1000
FDX02,OUT027,1000
FDQ16,OUT027,1000
FDU35,OUT018,1000
NCT29,OUT013,1000
FDZ27,OUT046,1000
FDN57,OUT017,1000
FDA03,OUT018,1000
FDZ36,OUT045,1000
NCU05,OUT013,1000
FDT39,OUT018,1000
FDK60,OUT017,1000
FDZ25,OUT017,1000
FDG12,OUT046,1000
DRB01,OUT019,1000
NCC43,OUT027,1000
FDX13,OUT019,1000
FDM22,OUT049,1000
FDJ03,OUT027,1000
FDU14,OUT018,1000
FDB33,OUT010,1000
FDP27,OUT046,1000
FDO38,OUT010,1000
FDE28,OUT027,1000
FDO27,OUT035,1000
DRL23,OUT027,1000
FDS28,OUT046,1000
FDX24,OUT013,1000
FDZ02,OUT035,1000
FDL46,OUT045,1000
FDS60,OUT027,1000
NCO06,OUT017,1000
FDO16,OUT035,1000
FDC60,OUT049,1000
FDA48,OUT018,1000
FDZ36,OUT027,1000
FDK27,OUT045,1000
FDW23,OUT018,1000
FDM14,OUT018,1000
FDM14,OUT013,1000
FDW60,OUT018,1000
FDE21,OUT013,1000
NCM42,OUT035,1000
FDY59,OUT010,1000
DRI49,OUT049,1000
FDT28,OUT019,1000
FDQ22,OUT018,1000
FDR60,OUT049,1000
FDC50,OUT019,1000
FDV24,OUT013,1000
DRF48,OUT010,1000
FDQ47,OUT046,1000
DRN36,OUT049,1000
NCY06,OUT035,1000
FDE52,OUT035,1000
NCB54,OUT045,1000
NCF31,OUT035,1000
FDJ08,OUT027,1000
NCC07,OUT017,1000
NCD19,OUT027,1000
FDL46,OUT049,1000
FDM20,OUT045,1000
NCI06,OUT010,1000
DRM11,OUT035,1000
NCH07,OUT018,1000
FDS23,OUT013,1000
FDO49,OUT018,1000
FDS35,OUT049,1000
DRK39,OUT045,1000
DRI39,OUT049,1000
FDV04,OUT017,1000
NCN14,OUT035,1000
FDH08,OUT013,1000
FDS20,OUT046,1000
FDV40,OUT049,1000
FDZ48,OUT010,1000
FDS24,OUT027,1000
FDK44,OUT049,1000
FDS48,OUT045,1000
FDK26,OUT010,1000
FDD23,OUT045,1000
NCH54,OUT017,1000
NCP14,OUT010,1000
FDM60,OUT010,1000
FDV24,OUT017,1000
FDH08,OUT018,1000
FDS12,OUT027,1000
FDR39,OUT027,1000
FDP12,OUT027,1000
DRF60,OUT027,1000
FDC09,OUT035,1000
FDF50,OUT018,1000
FDG28,OUT035,1000
NCE19,OUT017,1000
